作品关键词,,,,,,
"序
号",图集名称,中文关键词,英文关键词,成品效果样板图,,备注
32,玫瑰水晶宫殿,在黎明，天空中有一座由水晶制成的宫殿，反射和笼罩在雾中，被玫瑰花园包围，由AKA Beeple和Thomas Kinkada，灯光效果，艺术工作站，高清图像，虚幻引擎。,"expansive view,At dawn, there was a palace made of crystal in the sky, reflecting and shrouded in mist, surrounded by rose gardens,by AKA Beeple and Thomas Kinkada,light effect, artstation, high-definition picture, Unreal Engine.",,,
33,玫瑰教堂2,冬天，早晨，云彩，红色玫瑰花园和神奇的教堂在英格兰的田野，火，超广角，4k，童话，光效果，梦想，格雷格·鲁特科夫斯基，虚幻引擎，詹姆斯·格尼，艺术站。,"Winter, morning, clouds, red Rose garden and fantastic church in England field, fire, super wide angle, 4k, Fairy tale，light effect，Dream, Greg Rutkowski, unreal engine, James Gurney, artstation.",,,
34,甜品屋,"一幅漂亮的粉黄多层甜品室，黄色的灯光，许多大大小小的甜点散落在云中，许多层的云，梦幻的颜色，甜蜜的气氛，Thomas Kinkade, Ross Tran，超详细，4k，在艺术站趋势。","A beautiful painting of Pink yellow multi-layer dessert room, yellow light, many large and small desserts scattered in the clouds, many layers of clouds, dreamlike color, sweet atmosphere,Thomas Kinkade, Ross Tran,ultradetailed, 4k, Trending on artstation.",,,
36,"桃花源
中国宫殿",一张张美丽的画描绘了中国宫殿的美景，无边无际的桃花池深达数千英尺，许多许多的桃树和桃花覆盖了整个晶莹剔透的湖泊，笼罩在云雾中，粉红色的云漂浮在天空，上面超宽的角度，托马斯金凯德，梦幻，4K，浪漫，Artstation的趋势,"A beautiful painting of a beautiful view of the Chinese palace， The boundless peach blossom pool is thousands of feet deep, many many peach trees and peach blossoms cover the entire crystal clear lake, shrouded in clouds and mist, pink clouds float in the sky, above ultra-wide angle, Thomas Kinkade, dreamlike, 4K, romantic, trends on Artstation",,,
37,梦想玫瑰城堡,清晨，日出，阳光，梦想城堡，瀑布，云，很多小玫瑰，上面+超宽的角度，Thomas Kinkade，在artstation上的趋势,"Morning, sunrise, sunshine, dream castles, waterfalls, clouds, lots of little roses, above+super wide Angle, Thomas Kinkade,Trending on artstation",,,
38,海上玫瑰,夏天的一天，粉红色和白色的云在海上，詹姆斯格尼，一场厚厚的玫瑰，cgsociety，变化，由麦克斯韦尔，超宽拍摄，高清图片，在艺术工作站渲染,"summer day, pink and white clouds over the sea，James Gurney，a field thick with roses，cgsociety，vary，by Maxwell，ultrawide shot，high-definition picture, rendered in artstation",,,
39,沙漠玫瑰,夏天的一天，撒哈拉沙漠上空的粉色和白色的云，詹姆斯·格尼，一大片玫瑰，cgsociety，变化，由麦克斯韦尔，超宽拍摄，高清图片，在艺术工作站渲染。,"summer day, pink and white clouds over the Sahara desert，James Gurney，a field thick with roses，cgsociety，vary，by Maxwell，ultrawide shot，high-definition picture, rendered in artstation.",,,
40,"爱情之路
-
楼梯上的天空玫瑰",夏天的一天，粉红和白色的云在海上，楼梯上的云，詹姆斯格尼，一个厚厚的玫瑰，cgsociety，变化，由麦克斯韦，超宽拍摄，高清图片，在艺术工作站渲染。,"summer day, pink and white clouds over the sea, stairs up to clouds， by James Gurney，a field thick with roses，cgsociety，vary，by Maxwell，ultrawide shot，high-definition picture, rendered in artstation.",,,
41,黎明的粉色玫瑰瀑布,黎明，天空中的城市，金色的云，粉红色的玫瑰瀑布，托马斯·金凯德，罗斯·陈,"Dawn, city in the sky, golden clouds, pink rose waterfall，Thomas Kinkade, Ross Tran",,,
42,"寺庙
粉红色云
玫瑰花园","美丽的寺庙，中午，云中的青色和白色寺庙，浅蓝色的天空，青色和粉红色的云，玫瑰花园，艺术站，由Eliseo H.Zubiri和lan Fisher,cgsociety,vary,Maxwell，超宽镜头，4K","Beautiful temple,at noon, cyan and white temple in the clouds, light blue sky，cyan and pink clouds,rose garden，artstation,by Eliseo H.Zubiri and lan Fisher，cgsociety，vary，Maxwell，ultrawide shot，4K",,,
43,桃花河流瀑布,黎明时分，前面是一条河，河上爬满了紫色的藤蔓，再过去是一条瀑布，云雾缭绕，桃花满山，汤玛斯·金凯德，罗斯·陈，超广角，超精细，插画，4k,"Dawn, the front is a river, the river is covered with purple vines, and then in the past is a waterfall, shrouded in clouds, peach blossoms full in a hill，Thomas Kinkade, Ross Tran, super wide Angle，ultradetailed, illustration, 4k",,,
44,"红色的玫瑰
云中宫殿","清晨，云中的宫殿，浅蓝色的天空，青色的云，红色的玫瑰，蓝色的湖，反射，廷德尔效应，由Eliseo H.Zubiri和lan Fisher,cgsociety,vary,Maxwell，超宽镜头，4k","In the morning,palace in the clouds, light blue sky，cyan  clouds,red rose,Blue lake，reflection,Tyndall effect,by Eliseo H.Zubiri and lan Fisher，cgsociety，vary，Maxwell，ultrawide shot，4k",,,
45,"云中宫殿
青色云
蓝色湖","清晨，云中的宫殿，淡蓝色的天空，青色的云，蓝色的湖，反射，廷德尔效应，由Eliseo H.Zubiri和lan Fisher,cgsociety,vary,Maxwell，超宽镜头，4k","In the morning,palace in the clouds, light blue sky，cyan  clouds,Blue lake，reflection,Tyndall effect,by Eliseo H.Zubiri and lan Fisher，cgsociety，vary，Maxwell，ultrawide shot，4k",,,
46,"云中宫殿
粉色玫瑰
蓝色湖","清晨，云中的宫殿，浅蓝色的天空，青色的云，粉红色的玫瑰，蓝色的湖，反射，廷德尔效应，由Eliseo H.Zubiri和lan Fisher,cgsociety,vary,Maxwell，超宽镜头，4k","In the morning,palace in the clouds, light blue sky，cyan  clouds,pink rose ,Blue lake，reflection,Tyndall effect,by Eliseo H.Zubiri and lan Fisher，cgsociety，vary，Maxwell，ultrawide shot，4k",,,
47,"金色神殿
红色玫瑰
蓝色湖","清晨，云中的金色神庙，浅蓝色的天空，青色的云，红色的玫瑰，蓝色的湖，廷德尔效应，由Eliseo H.Zubiri和lan Fisher,cgsociety,vary,Maxwell，超宽镜头，4k","In the morning,Golden temple in the clouds, light blue sky，cyan  clouds,red rose,Blue lake，Tyndall effect,by Eliseo H.Zubiri and lan Fisher，cgsociety，vary，Maxwell，ultrawide shot，4k",,,
48,"云中水晶宫殿
水晶圆形玫瑰","清晨，云中的水晶宫殿，淡蓝色的天空，青色的云，水晶长出圆形的玫瑰，廷德尔效应，Eliseo H.Zubiri和lan Fisher,cgsociety,vary,Maxwell，超宽镜头，4k","In the morning,A palace made of crystal in the clouds, light blue sky,cyan clouds,The crystal grew round with roses,Tyndall effect,by Eliseo H.Zubiri and lan Fisher,cgsociety,vary,Maxwell,ultrawide shot,4k",,,
49,哈尔的移动城堡,天空云中的斯坦普克城堡，花园里美丽的花朵，童话，格雷格·鲁特考斯基，托马斯·金克特，艺术站，早晨，夏天。,"Stampke Castle in the clouds in the sky, beautiful flowers in the garden, fairy tales, Greg Rutkowski, Thomas Kinkett, Artstation, morning, summer.",,,
50,樱花湖1,一个超写实的CG渲染古代日本，湖泊，宁静的风景，樱花森林，伊万·艾瓦佐夫斯基，在体积照明，艺术站点趋势，Top +超广角，4K,"A ultra-realistic CG rendering of Ancient Japan, lake, serene landscape, cherry blossom forest, by Ivan Aivazovsky, in volumetric lighting, Trending on artstation, Top + Ultra Wide Angle, 4K",,,
51,樱花湖2,一个超写实的CG渲染古代日本，湖泊，宁静的风景，樱花森林，粉红色的樱花，伊万艾瓦佐夫斯基，在体积照明，蓝天，白云，蓝色的水，绿叶在艺术站趋势，Top +超广角，4K,"A ultra-realistic CG rendering of Ancient Japan, lake, serene landscape, cherry blossom forest,Pink cherry blossoms， by Ivan Aivazovsky, in volumetric lighting,Blue sky, white clouds, blue water, green leaves Trending on artstation, Top + Ultra Wide Angle, 4K",,,
52,樱花湖3,由Ivan Aivazovsky制作的古代日本，湖泊，宁静的风景，樱花森林的超写实CG渲染，在体积照明下，蓝天，白云，蓝色的水，绿色的叶子，在艺术站上，Top +超广角，4K,"A ultra-realistic CG rendering of Ancient Japan, lake, serene landscape, cherry blossom forest, by Ivan Aivazovsky, in volumetric lighting,Blue sky, white clouds, blue water, green leavesTrending on artstation, Top + Ultra Wide Angle, 4K",,,
53,紫藤湖泊,一个超写实的CG渲染古代日本，湖泊，宁静的风景，紫色紫藤，伊万艾瓦佐夫斯基，在体积照明，蓝天，白云，蓝色的水，绿叶在艺术站趋势，Top +超广角，4K,"A ultra- realistic CG rendering of Ancient Japan, lake, serene landscape, purple wisterias, by Ivan Aivazovsky, in volumetric lighting,Blue sky, white clouds, blue water, green leaves Trending on artstation, Top + Ultra Wide Angle, 4K",,,
54,地狱之门1,"高清史诗CG哑光绘画，黑色的云海，玫瑰花园，地狱，通过楼梯走上云中的一扇光门。门外是城堡，蓝色的光，金色的光效果，黄色的萤火虫，James Gurney,cgsociety,vary,Maxwell，超宽拍摄，4K。","A HD epic CG matte painting，Black Sea of clouds, rose garden, hell, walk up a light door in the clouds through the stairs. Outside the door is the castle, blue light, tintal light effect, yellow firefly, by James Gurney，cgsociety，vary，Maxwell，ultrawide shot，4K.",,,
55,地狱之门2,"高清史诗CG磨砂画，黑色云海，黑色玫瑰，地狱在底部，云上的时空之门，楼梯，蓝色光，黄色萤火虫，光效果，James Gurney,cgsociety,vary,Maxwell，超宽镜头，4K。","A HD epic CG matte painting，Black Sea of clouds, black roses, hell at the bottom, the gate of time and space on the cloud, stairs, blue light, yellow firefly, light effect, by James Gurney，cgsociety，vary，Maxwell，ultrawide shot，4K.",,,
56,巴比伦的空中花园,广阔的视野，巴比伦的空中花园，瀑布，水，由AKA Beeple和Thomas Kinkada，光效果，艺术工作站，高清图片，虚幻引擎。,"expansive view,Hanging gardens of Babylon, waterfalls, water,by AKA Beeple and Thomas Kinkada,light effect, artstation, high-definition picture, Unreal Engine.",,,
57,龙,"格里格·鲁特考斯基和托马斯·金凯德的《龙息灼烧大地》，4k, artstation Trending，“橙色配色”","""A beautiful painting of Dragon breath burns zhe earth by greg rutkowski and thomas kinkade,4k,Trending on artstation."",""orange color scheme""",,,#NAME?
58,凤凰1,一幅真实的摄影山水画，具有无与伦比的现实，凤凰，彩云，童话，光效果，梦想，丁达光，格雷格·鲁特科夫斯基，虚幻引擎，超写实画风，超宽，艺术。,"A real photographic landscape painting with incomparable reality，the phoenix，Colorful clouds, fairy tale , light effect , Dream , Dindar light , Greg Rutkowski , unreal engine , Super realistic painting style, super wide ,artstation.",,,
59,凤凰2,史诗级CG哑光绘画，深远的镜头，日落，火云，中国凤凰在天空中飞:+8，七色云海，浅蓝色的天空:+2，格雷格·鲁特科夫斯基，油画，艺术工作站，高清图片，虚幻引擎。,"An epic CG matte painting, far-reaching Lens, sunset, Fire Clouds, Chinese Phoenix flying in the sky：+8, Seven-color Sea of clouds, light blue sky：+2,by Greg Rutkowski，oil painting ,artstation, high-definition picture, Unreal Engine.",,,
60,凤凰3,一幅真实的摄影山水画，具有无与伦比的现实，凤凰，彩云，童话，光效果，梦想，丁达光，格雷格·鲁特科夫斯基，虚幻引擎，超写实画风，超宽，艺术。,"A real photographic landscape painting with incomparable reality，the phoenix，Colorful clouds, fairy tale , light effect , Dream , Dindar light , Greg Rutkowski , unreal engine , Super realistic painting style, super wide ,artstation.",,,
61,冬天城堡湖景1,冬天，晨光，远处的湖景，城堡，云彩，芦苇，梅花，阳光，童话，灯光效果，幻想，托马斯·金凯德，虚幻引擎，超写实风格，4K，超广角，艺术站,"Winter, morning light, distant view of the lake, castle, clouds,reed,plum blossom, sunshine, fairy tale, lighting effects, fantasy, Thomas Kincaid, Unreal Engine, hyperrealistic style, 4K, ultra wide Angle, art station",,,
62,冬天城堡湖景2,古日本、冬季、晨光、湖景、城堡、云朵、阳光、童话、灯光效果、幻想、托马斯·金凯德、虚幻引擎、超写实风格、4K、超广角、艺术站的超写实CG渲染,"A ultra-realistic CG rendering of Ancient Japan,Winter, morning light, distant view of the lake, castle, clouds, sunshine, fairy tale, lighting effects, fantasy, Thomas Kincaid, Unreal Engine, hyperrealistic style, 4K, ultra wide Angle, art station",,,
63,冬天桃树湖景,古日本、冬、冬、黎明、蓝天、粉云、湖泊、瀑布、桃树、阳光、童话、灯光效果、幻想、托马斯·金凯德、虚幻引擎、超写实风格、4K、超广角、艺术站的超写实CG渲染,"A ultra-realistic CG rendering of Ancient Japan,Winter,Winter, dawn, blue sky, pink clouds, lakes, waterfalls, peach trees,sunshine, fairy tale, lighting effects, fantasy, Thomas Kincaid, Unreal Engine, hyperrealistic style, 4K, ultra wide Angle, art station",,,
64,海底亚特兰蒂斯梦,海底亚特兰蒂斯梦，光的折射，蓝色的水，超广角，宁静，童话，灯光效果，幻想，托马斯·金凯，虚幻引擎，4K，超广角，艺术站。,"Undersea Atlantis dream, refraction of light, blue water, ultra wide Angle, serenity，fairy tale, lighting effects, fantasy, Thomas Kincaid, Unreal Engine,  4K, ultra wide Angle, art station.",,,
65,海下的亚特兰蒂斯水晶宫,海下的亚特兰蒂斯水晶宫浅蓝色，灯光效果，艺术工作站，高清图片，虚幻引擎，高清图片,"The crystal palace of Atlantis under the seaglows light blue, light effect, artstation, high-definition picture, Unreal Engine, high-definitionpicture",,,
66,夏天麦田星空,史诗级CG哑光绘画，广阔的视野，夏天，夜晚，星星，麦田，光点，光效果，Zeen Chin，高清图片，虚幻引擎，艺术工作站。,"An epic CG matte painting,expansive view, Summer, night, stars, wheat fields ,light spot,light effect, by Zeen Chin,high-definition picture, Unreal Engine,artstation .",,,
67,极光1,史诗级CG哑光绘画，广阔的视野，北极，极光，山脉，湖泊，蓝色的水，云，光效果，Zeen Chin，高清图片，虚幻引擎，艺术工作站,"An epic CG matte painting,expansive view,The North Pole,the aurora, mountains, lakes, blue water, clouds,light effect, by Zeen Chin,high-definition picture, Unreal Engine,artstation ",,,
68,城市夜晚的烟花,史诗CG哑光绘画，广阔的视野，夏天，夜晚，星星，天空中的城市，云，五彩烟花，艺术工作站，高清画面，虚幻引擎，高清画面。,"An epic CG matte painting,expansive view,Summer, night, stars, city in the sky, clouds, colorful fireworks,artstation, high-definition picture, Unreal Engine, high-definition picture.",,,
69,湖泊边的水晶宫殿夜景,一个由水晶，湖泊，反射组成的宫殿，由AKA Beeple和Thomas Kinkada，光效果，艺术工作站，高清图片，虚幻引擎，高清图片。,"expansive view,A palace made of crystal, lake, reflection,by AKA Beeple and Thomas Kinkada,light effect, artstation, high-definition picture, Unreal Engine, high-definitionpicture.",,,
70,赛博朋克之城,俯视赛博朋克之城，飞艇在空中穿梭，雾气弥漫，下雨天，霓虹灯，Marc Simonetti在艺术站,"Looking down at the cyberpunk City, airships shuttle in the air, colorful colors, fog, rainy days, neon lights, Marc Simonetti on artstation.",,,
71,火山与龙,"龙在火山上，云，雾，风暴,闪电，不详，磨砂画，火焰在空中穿梭，详细，加入红色调，加入金色调,A站，Marc Simonetti
","Dragon on A volcano, cloud, fog, storm, lightning, ominous, Matte painting, flames flying through the air, detail, add red, add gold, station A, Marc Simonetti",,,
72,泰姬陵,晨光下的泰姬陵，五彩斑斓的鱼儿穿梭在空中，Anton Fadeev,"Colourful fish float in the sky at the Taj Mahal in the morning light, Anton Fadeev",,,
73,,从下面看夜晚的赛博朋克城市，城市景观，雾，雨，艺术站，格雷格·鲁特科夫斯基,"Cyberpunk city in the night seen from below,cityscape,mist,rain,artstation,Greg Rutkowski",,,
74,,“云环绕山脉和中国宫殿，阳光，湖泊，远眺，远眺，虚幻引擎，光效果，梦想，格雷格·鲁特考斯基，詹姆斯·格尼，艺术站”,"""clouds surround the mountains and Chinese palaces,sunshine,lake,overlook,overlook,unreal engine,light effect,Dream，Greg Rutkowski,James Gurney,artstation""
",,,
75,,“在晨光中，俯瞰东京城市，格雷格·鲁特科夫斯基和托马斯·金凯德，artstationmakoto shinkai style”,"""in the morning light,Overlooking TOKYO city by greg rutkowski and thomas kinkade,Trending on artstationmakoto shinkai style""
",,,
76,,一幅美丽的风景画，暮色中彩云满天，黄龙风景名胜区的彩色水池闪烁着五颜六色的灯光，阿纳托·芬斯塔克在艺术台上,"A beautiful painting of landscape，twilight full of colorful clouds, The colorful pools of Huanglong Scenic and Historic Interest Area glow with colorful lights，Anato Finnstark on artstation",,,
77,,“格雷格画的一幅美丽的龙息燃烧大地鲁特考斯基和托马斯·金凯德，艺术站趋势”，“橙色配色方案," ""A beautiful painting of Dragon breath burns the earth  by greg rutkowski and thomas kinkade, Trending on artstation."",""orange color scheme""”",,,
78,,"云雾环山，雄伟的中国宫殿，俯瞰，虚幻潘恩，梦，格雷格·鲁考斯基，詹姆斯格尼,artstation","Clouds surround mountains and magnificent Chinese palaces,overlook,unreal engine,Dream,Greg Rutkowski,James Gurney,artstation",,,
79,,一幅美丽的画面，一个平静祥和的村庄，人们看到战争机器在远方，而危机正由安东·法迪夫、阿什图来,"A beautiful picture, a calm and peaceful village, people see the war machine in the distance, and the crisis is coming by Anton fadeev。artsation",,,
