,,
英文关键词,成品效果样板图,备注
"**Night, flowers, small::1 crescent moon in the sky, snow, ice，Super wide angle view, red rose garden + beautiful paintings in the factory area,all abandoned factories, scattered roses, snow, rose path, fiery ovules and lava crystal ginger, Blizzard style art station trend, magical light fog, glacier, rainbow, tree cloud, volume lighting, UE4, ZBrush, marmoset toolkit HD --ar 9:16** - ",,
"An epic CG matte painting , expansive view , three gorgeous palaces on the clouds , several waterfulls drops from the clouds , A sea of pink roses , by Zeen Chin , high - definition picture , Unreal Engine , Trending on artstation HD --ar 9:16",,
"A high-definition CG rendering of a dark rose forest, a rose path, long floating red roses on the ground, fireflies, luminous ovules, light effects, snowstorm style art trendsmagical light fognight timelow light volumetric lightingue4 zbrushmarmostt toolbag HD --ar 9:16",,
"There are many green tender leaves on the flower branches, many crystal clear flowers, and translucent petals curl around its wet flower center. There are crystal dew on the flowers, with a hazy blue-green background and clear layers,HD --ar 9:16",,
"There are many green pointed tender leaves on the flower branches, many crystal clear lavender flowers, and translucent petals curled around its wet flower center. There are crystal dew on the flowers. The hazy gray blue background is clear, and several transparent snowflakes are falling,HD --ar 9:16",,
"There are many green pointed tender leaves on the flower branches, many crystal clear flowers, and translucent petals curled around its wet flower center. There are crystal dew on the flowers, with a hazy gray background, clear layers, and scattered snowflakes,HD --ar 9:16",,
"Winter, morning light, distant view of the lake, castle, clouds,reed,plum blossom, sunshine, fairy tale, lighting effects, fantasy, Thomas Kincaid, Unreal Engine, hyperrealistic style, 4K, ultra wide Angle, art station,HD --ar 9:16",,
"Several flower branches, many green pointed tender leaves on the flower branches, many crystal clear plum blossoms, transparent pale yellow petals curled around the lilac flower center, and crystal dew on the flowers. Fuzzy dark gray background, scattered snowflakes, mountains in the distance, large depth of field,HD --ar 9:16",,
"Under the hazy moonlight, there are several colorful flowers nearby. There are many crystal clear dew on the transparent petals, which are blooming on the bank. There is a winding and clear stream, and the valley in the distance is surrounded by clouds，HD --ar 9:16",,
"There are several colored flowers nearby. There are many transparent dew on the transparent petals. They are blooming on the bank. There is a winding brook river. In the distance, the valley is shrouded in clouds. The village is dimly seen. The gray background，HD --ar 9:16",,
"Super wide angle view,golden rose icebulerosegarden + beautiful paintings in the factory area, tall factory with many iron frames, iron nets, factory lighting, Greg ratkowski, night, a little red rose on the iron frame, art station trend, low light, smoke, steel support, volume lighting, UE4, ZBrush, marmoset Kit HD --ar 9:16 --iw 10",,
"In winter, there is an emerald castle. At the foot of the castle, there are ice roses and a huge ice waterfall. It was created by Thomas Kinkade of the art station，HD --ar 9:16",,
"In winter, there is an emerald castle. At the foot of the castle, there are ice roses, created by Thomas Kinkade of the art station，HD --ar 9:16",,
"In winter, there is an emerald castle. At the foot of the castle, there are ice roses and a huge ice waterfall. It was created by Thomas Kinkade of the art station，HD --ar 9:16",,
"Underwater, blue water, many ice blue roses, small fish, refracted light, crystal, super wide angle, quiet, fairy tale, lighting effect, fantasy, Thomas Kincaid, unreal engine, 4K, super wide angle, art station，HD --ar 9:16",,
"Epic composition,Tall crystal magic of the rose church garden, frozen rose bushes, frozen rose, Scattered Roses, Snow, Rose Trail, Blizzard style art station trends, Magical Light Mist, Tree Cloud, snow, winter, movies, tree clouds, crystals, ice everywhere, frozen, roses in ice, frozen roses, octane rendering, Ultra wide angle lens,surrealism, 8K,Volumetric lighting, Volumetric light --ar 9:16",,
"A huge hanging garden with a panoramic view, the blue Rose Garden, is in the princess's room and in a tall castle，many wooden frames, ribbons, candle lighting, Greg latter Kosky, night, little blue rose pergola, art station trend, bright light, smoke, wooden stand, UE4, HD, lighting, winter, AUV --ar 9:16",,
"It's dark at night, the blue sea is covered with blue roses, floating on the water, emitting pink light, quiet, fairy tale, lighting effect, fantasy, unreal engine, 4K，HD --ar 9:16",,
"Have the opportunity to accompany me to the seaside, I want to see the scenery. Want to chase the wind in the mountains, see dusk and dawn. Beautiful roses bloom on the sunset road, and the summer of roses will never be absent.HD --ar 9:16",,
"Under the dim moonlight, the river is misty, there are several maple trees with red leaves on the bank, there are scattered lights on several fishing boats, the original lights of the ancient temple on the mountain, Chinese style, ink painting，HD --ar 9:16",,
"In winter, there is heavy snow. On the mountains and the broad river, a fisherman with a bamboo hat and a coir raincoat sits in a small boat to fish. In the distant village, the dry branches on the bank are covered with snow. It is Chinese style，HD --ar 9:16",,
"A beautiful epic cg of A perfect depiction of a Epic magnificent spectacle，campus, silent hill, homicide, horror, creepy atmosphere, approaching evening, run-down look，Magnificent scenes，virtual engines，bright，Magnificent and very vast，Unity engine，ray tracing，Realistic texture materials，by lee madgwick，hubert robert，HD --ar 9:16",,
"Super wide angle view, blue rose garden + beautiful paintings in the factory area, tall factory with many iron frames, iron nets, factory lighting, Greg ratkowski, night, a little blue rose on the iron frame, art station trend, low light, smoke, steel support, volume lighting, UE4, ZBrush, marmoset Kit HD --ar 9:16",,
"Xinhaicheng, fairy tale house, soft green plants, continuous rose clouds, flowers and plants HD --ar 9:16",,
"there are many green tender leaves on the rose branches, many crystal clear blue rose, There are crystal dew on the roses, with a fuzzy blue-green background and clear layers --ar 9:16",,
"there are many green tender leaves on the rose branches, many crystal clear blue rose, and translucent petals wrapped around the wet flower center. There are crystal dew on the roses, with a fuzzy blue-green background and clear layers --ar 9:16",,
"there are many green tender leaves on the rose branches, many crystal clear purple rose, and translucent petals wrapped around the wet flower center. There are crystal dew on the roses, with a fuzzy blue-green background and clear layers --ar 9:16",,
"Many sunflowers with green leaves, starry sky, dilapidated cottages, windmills, Van Gogh style, HD --ar 9:16 ",,
"A beautiful painting of Paradise Garden , light , sky , magic , by Jorge Jacinto , trending on artstation , concept art ,HD --ar 9:16",,
"A beautiful painting of Paradise Garden , light , sky , magic , by Jorge Jacinto , trending on artstation , concept art ,HD --ar 9:16",,
"A beautiful painting of Paradise Garden ,Mushroom house, green light , green sky ,green cloud, magic , by Jorge Jacinto , trending on artstation , concept art ,HD --ar 9:16",,
"A dark rose sea surface rendered by high-definition CG, a rose path, blue roses, fireflies, luminous ovules floating on the sea surface for a long time,luminous ovules, light effects, snowstorm style art trendsmagical light fognight timelow light volumetric lightingue4 zbrushmarmostt toolbag HD --ar 9:16",,
"rendered by high-definition CG,Phoenix, cloud,golden Chinese palace, flame, HD, 4K,HD --ar 9:16",,
"rendered by high-definition CG,Phoenix, cloud,Chinese palace, flame, HD, 4K,HD --ar 9:16",,
"A beautiful painting of Paradise Garden ,Mushroom house,pale green light ,pale green sky ,palegreen cloud, lake,magic , trending on artstation , concept art ,HD --ar 9:16 ",,
"Dream house floating in the air, cotton candy clouds, watermelon clouds, small flowers, grass, flowers,lake, light green background, dream, fairy tale,HD --ar 9:16",,
"s. Mj.run/sypr1vca3kk escape, fight, God, rose everywhere medieval HD AR (fast), marmoset Kit HD --ar 9:16",,
"Blue sky, Xinhaicheng Fairy House, green plants, soft clouds, flowers and grass, dreamy deep forest and river A beautiful painting of Paradise Garden ,Mushroom house,pale green light ,pale green sky ,palegreen cloud, lake,magic , trending on artstation , concept art , marmoset Kit HD --ar 9:16",,
"Underwater, Arched buildings in ancient Europe , Clouds an d mist , wide angle , shoal of fish , refracted light , Bright sea bottom , tintal light , quiet , lighting effect ,4K, super wide an gle , art station ,8k, Arched marble building in the ocean , shi ning diamonds , Dingdal light , beautiful coral , beautiful Pear I , by Makoto Shinkai and ALexander Jansson and Greg Rutk , --ar 9:16",,
"Huge crystal Gothic palace, dream, clouds,Romantic， many red roses, romantic lights, light blue clouds, white stars, fantasy bubble, super wide angle, octane rendering, super detail,HD, A ultra-realistic CG rendering --ar 9:16 ",,
"Pale green clouds, a castle with a garden full of flowers is above the clouds ，light effect,by Makoto Shinkai and Claude Monet,trending on behance,8K, —ar 9:16",,
"Ultra wide Angle bird's eye view, white rose garden + beautiful paintings in the factory area, tall factory with many iron frames, iron nets, factory lighting, Greg ratkowski, night, a little white rose on the iron frame, art station trend, low light, smoke, steel support, A few pink clouds，volume lighting, UE4, ZBrush, marmoset Kit HD --ar 9:16",,
"city of fairies in a forest, fireflies, butterflies, trees, bloom, fantasy,marmoset Kit HD --ar 9:16 ",,
"ancient magical forest, tall pink trees, moonlit, with bioluminescent mushrooms, fireflies, pale blue fog, mysterious, twinkling stars, cinematic lighting, photorealism,high details, hyper realistic, mysterious, 8k, wide angle --ar 9:16",,
"Epic composition,Tall crystal magic of the red rose church garden, frozen purple rose bushes, frozen red rose, Scattered Roses, Snow, Rose Trail, Blizzard style art station trends, Magical Light Mist, Tree Cloud, snow, winter, movies, tree clouds, crystals, ice everywhere, frozen,red roses in ice, frozen purple roses, octane rendering, Ultra wide angle lens,surrealism, 8K,Volumetric lighting, Volumetric light, dusk, sunset --w 1080 --h 1920 --seed 12948",,
"A realistic CG rendering of Juck Zhang, with a green villa on it, green grass besides the villa, a white cotton cloud in the sky, and a rose waterfall flowing from the roof to the grass.HD --ar 9:16 ",,
"summer，Pale green clouds, above the clouds is a palace with a garden full of flowers, Dundar light effect, wide view, soft light, fairy tale, dreamy, aesthetic, HD picture, by Makoto Shinkai and Claude Monet, Trend on Behance,8K,HD --ar 9:16",,
"One kind of flower is pink, its petals are transparent, deep as sea water, crystal like dew, it can feel the loyalty and purity of love, 8K ,HD --ar 9:16 ",,
"Tall crystal magic of the rose church garden, Frozen rose bushes, Frozen Rose, Scattered Roses, Snow, rose paths,crystal clear and self-luminous, glowing ovules and lava crystalline ginger, Blizzard style art station trends, Magical Light Mist, Tree Cloud, Volumetric lighting, Volumetric light, Lights, Ultra wide angle lens, Surreal, 8K, DeviantArt, Epic composition, Film version, Octane rendering,  8K resolution, detailed landscape painting by Ivan Shishkin, landscape vista photography by Carr Clifton & Galen Rowell, Nausicaa Ghibli, Breath of The Wild, Alena Aenami, --ar 9:16",,
"A beautiful painting of the red rose garden , Duomo di Milano ,burning , winter , by greg rutkowski and thomas kinkade , unreal engine , Trending on artstation, 8K ,HD --ar 9:16",,
"A beautiful painting of Summer,ultra-wide field ,Underwater,Cloudy,Candy,Lotus,Starry night,Light effect,3d,by Thomas kinkade,trending on cgsociety,soft light,Fairy tale, dreamy, high-definition picture, 8K ,HD --ar 9:16 ",,
"Early morning, magnificent palace in the clouds, colorful clouds in the sky, light and shadow effects, fairyland, dream, shock, up, panorama, 4K, cloudy,By greg rutkowski and Thomas Kinkade, 8K ,HD --ar 9:16",,
"Snow, countless roses wrapped the ancient pavilion,HD --ar 9:16",,
"Wide-angle lens, countless petals are round and full, countless flowers are crystal clear, pink male flowers are strong, tender green leaves, morning mist, dew falls on petals, snowflakes fall, lighting effect, artistic trend,HD --ar 9:16",,
"Super wide Angle, overlooking, Summer, night, Genting Tiangong, Chinese style palace,green clouds ,Adornment line, sea of clouds,Three-dimensional lighting, 8K,starry sky, dreams, fairy tales, by Lee Madgwick and Beeple, 8K ,HD --ar 9:16",,
"There is a kind of flower that is pink. The petals are as deep as seawater and as crystal as dewdrops.,And it can sense the loyalty and purity of love ,High detail，Great depth of field,HD --ar 9:16",,
"There are a lot of red roses. The petals are as deep as seawater, crystal like dewdrops, frozen in ice cubes, you can feel the loyalty and purity of love, high details, large depth of field, high definition HD --ar 9:16",,
"Ancient Chinese ultra-realistic CG rendering, with a creek, on the water town of Jiangnan, in the evening, Chinese architecture, maple trees with milky leaves, snow scenes, moon in the sky, HD --ar 9:16 ",,
"This is a painting depicting Miyazaki's summer, Shin Haicheng, summer green, fairy tale forest, pale pink thatched cottage, many soft small broken clouds, animation rendering, high-definition picture HD --ar 9:16",,
"Pale green clouds, above the clouds is a house full of flowers in the garden, under the house is a watermelon field Dundar lighting effects, wide views, soft light, fairy tales, fantastic, aesthetic, HD pictures, created by Makoto Shinkai and Claude Monet, Trend on Behance, 8K",,
"On a summer night, there is a light blue starry sky, and a train has passed on the ground, surrounded by pink flowers and green plants, lighting effects, starlight, fairy tales,by Makoto Shinkai and Claude Monet,trending on behance,8K HD --ar 9:16",,
"a matte painting of etailed 8k render of roses garden in Victorian town during thunderstorm,20th Century Fox Film Corporation, Paramount Pictures,by Vito Ngai and lee madgwick,soft light:10"" 8K HD --ar 9:16 - Upscaled ",,
"on a summer night,there is a light blue starry sky,By the sea,Shooting stars, fireworks, the beach is all blue roses and green plants,by Ivan Aivazovsky and Dan Mumford,trending on cgsociety,soft light,Fairy tale,dreamy,shallow depth of field,octane rendering,8k hd wallpaper,f8:3 8K HD --ar 9:16",,
"There is a kind of Button Pom that is pink. The petals are as deep as seawater and as crystal as dewdrops There are many green leaves on the flower branches, And it can sense the loyalty and purity of love HD --ar 9:16",,
"Epic composition,Tall crystal magic of the rose church garden, frozen rose bushes, frozen rose, Scattered Roses, Snow, Rose Trail, Blizzard style art station trends, Magical Light Mist, Tree Cloud, snow, winter, movies, tree clouds, crystals, ice everywhere, frozen, roses in ice, frozen roses, octane rendering, Ultra wide angle lens,surrealism, 8K,Volumetric lighting, Volumetric light --ar 9:16",,
"At night sky, the beach is covered with blue and green fluorescence, the huge moon, elf light, stars, facula, the sea with fluorescence, the shining golden beach, the starry sky with moonlight, Michael james Smith's matte painting, reflection, cg rendering, volume light, space art, bioluminescence, unreal engine 5, magic of light, unreal engine rendering, super wide angle, super wide angle, high definition. --ar 9:16",,
"a beach covered in lots of Color rocks under a night sky, Rocks surrounded by roses, Towering lighthouse + lighting, Fluorescent Sea, Moonlight shines on a sea of twinkling stars, a matte painting by Michael James Smith, Reflection, featured on cg society, Volumetric light, space art, bioluminescence, unreal engine 5, Magic of light, rendered in unreal engine, Ultra-wide viewing angle, Ultra-wide viewing angle, --ar 9:16 --test --upbeta --upbeta",,
"In the night sky, the beach is covered with blue and yellow fluorescence, the moon, elf light, stars, facula, the sea with fluorescence, the shining golden love beach, the starry sky with moonlight, Michael james Smith's matte painting, reflection, cg rendering, volume light, space art, bioluminescence, unreal engine 5, magic of light, unreal engine rendering, super wide angle, super wide angle, high definition. --ar 9:16 --uplight",,
"Pale blue beach covered with colorful glowing stones, a boat in the distance, fluorescent ocean, moonlight, and sparkling stars,, 3d, super wide view, aerial view, Moonlight on a Sea of Twinkling Stars, Reflections, cg Social Topics, Volumetric Light, Space Art, Bioluminescence, Unreal Engine 5, The Magic of Lights, Presented in Unreality Engine, Super Wide View, Top View View (s), Superwide Angle, 8k --ar 9:16 --upbeta",,
"Light purple aurora in white snow, snow mountains, rivers, snowstorms, colorful stars twinkling, illusory engine, 4K HD,HD --ar 9:16",,
" Golden Dream Starry Sky，Distant mountains，A crystal clear lake，Fluorescent lake surface，The grass is full of flowers，landscape photography by Marc Adamus，realistic, 8K, ultrawide angle, panorama, 3D,Ultra HD, high pixel,HD --ar 9:16 --test --creative --upbeta",,
"Golden Dream Starry Sky，Distant mountains，A crystal clear lake，Fluorescent lake surface，The grass is full of flowers，landscape photography by Marc Adamus，realistic, 8K, ultrawide angle, panorama, 3D,Ultra HD, high pixel,HD --ar 9:16 --test --creative --upbeta",,
"Night, the Milky Way starlight, the silvery white crescent moon is accompanied by the Milky Way starlight sprinkled on the beach, there are many glowing creatures in the beach, the beach is the shape of love, pebbles, glowing creatures, fluorescent, golden, color, dreamy, super wide-angle light, Unreal Engine, 4K HD, HD. --ar 9:16",,
"The blue dream star, with thick clouds in the sky, is colorful. The sky is bright at sunset. Snow mountains in the distance, quiet lakes and ice lakes, crystal fragments, dreams, ultra-high definition, ultra-wide angle, panorama, 8k, lifelike, 3D high pixel, landscape photography, shot by Mark Adams (original)HD --ar 9:16 --q 2",,
"There is a flower that is a pink four-leaf clover, whose petals are transparent, deep as the sea, crystal as dew, and it can feel the loyalty and purity of love,8K,FHD --ar 9:16 --q 2 --chaos 30 --video  --uplight ",,有一朵花是粉色的四叶三叶草，花瓣透明，像大海一样深，像露水一样晶莹剔透，它能感受到爱的忠诚和纯洁
" one glowing crystalized in the dark rose forest with a rose path that has glowing ovules and lava crystallized ginger by Blizzard style ArtStation trending,Glowing black roses, magical light fog, night time, low light, volumetric lighting, ue4, zbrush, marmoset toolbag--hd --ar 9:16  --uplight ",,一个在黑暗的玫瑰林中发光的水晶，有一条玫瑰路径，有暴雪风格的艺术站趋势的发光的胚珠和熔岩结晶的生姜，发光的黑玫瑰，神奇的光雾，夜间，低光，体积照明
" A beautiful picture depicting a fairy tale world about green, strawberry hut, white smoke and wonderland. Lighting effects, white clouds around the house, Hayao Miyazaki's anime style, fashion sense, rural style, very detailed, beautiful flower arrangement style, 4k detail post-processing, HD --ar 9:16  --uplight",,一幅美丽的图画描绘了一个关于绿色、草莓小屋、白烟和仙境的童话世界。灯光效果，房子周围的白云，宫崎骏的动画风格，时尚感，乡村风格，非常细致，美丽的插花风格，4k细节后处理
" A magnificent crystal palace is above the clouds. The palace covered with pink flowers is surrounded by clouds and running water. Pink flowers, Atlantis, fairy tales, dreams, clouds and mist, animation style, Miyazaki Hayao animation lighting effects, movie details, trends in artstaion, 8K, yevgeny Lu Xiping,HD --ar 9:16  --uplight - Upscaled (Light)",,一座宏伟的水晶宫在云层之上。宫殿里开满了粉色的花，四周云雾缭绕，流水奔腾。粉色花朵，亚特兰蒂斯，童话，梦，云和雾，动画风格，宫崎骏动画灯光效果，电影细节，艺术潮流，8K，叶夫根尼·鲁西平，高清--ar 9:16--uplight-由@Mary09（轻松）放大（灯光）
"fruity jelly prisms, floating on the cotton candy soft clouds, dreamscape, heaven-like, realistic, 8k, UE5,fantasy, utopia --ar 9:16 --q 2  --uplight - Upscaled (Light) ",,水果果冻棱镜，漂浮在棉花糖软云上，梦境，天堂般的，现实的，8k，UE5，幻想，乌托邦
"  a pink pastel mushroom house on a cloud ,cotton candy clouds ,magic flowers, glowing, beautiful, fairy, fairytale art style, volumetric lighting, highly detailed, unreal engine 3D digital art, in the style of 90s anime, sailor moon,UE4,8k  --w 1080 --h 1920 --q 2  --uplight",,云上的粉色粉彩蘑菇屋，棉花糖云，魔法花，发光，美丽，童话般的艺术风格，立体照明，高度细致，虚幻的3D数字艺术，90年代动画风格，水手月亮
"A ultra-realistic CG rendering of Ancient China,A ultra-realistic CG rendering of Guilin landscape, China,Dream small  house on besides of the river,in the evening,peach with milky leaves tree,snow scene，White moonlight, a moon in creating moon, --ar 9:16 --q 2 --chaos 30  --uplight - @Mary09 (relaxed)",,中国古代的超现实CG渲染，中国桂林景观的超现实电脑渲染，河边的梦幻小屋，晚上，桃树乳白色的叶子，雪景，白色的月光，创造月亮的月亮
"A beautiful painting of a vast empty desert dunes at night, with a single mystical giant glowing blue tree at the middle, the tree's blue glow illuminates its surroundings, stars in the sky, by ted nasmith and thomas kinkade, featured on Artstation --ar 9:16",,这是一幅美丽的画作，描绘了夜晚一大片空旷的沙漠沙丘，中间有一棵神秘的巨大发光的蓝色树，树的蓝色光芒照亮了周围的环境，天空中的星星，由特德·纳史密斯和托马斯·金卡德创作
" In the dim moonlight, there were several white roses nearby. There are many crystal clear dewdrops on the transparent petals. They are blooming on the shore. There is a winding clear stream, and the blue-green Valley in the distance is surrounded by clouds，FHD --ar 9:16 --q 2  --uplight",,在朦胧的月光下，附近有几朵白玫瑰。透明的花瓣上有许多晶莹剔透的露珠。它们在岸上开花。有一条蜿蜒清澈的小溪，远处蓝绿色的山谷被云层环绕
 God of Psychedelics dancing in a vortex made of flowers --ar 9:16  --uplight,,迷幻之神在花做成的漩涡中跳舞
"crystalised temple, future eco village, sunny day, autumn, colorful, joyful, energetic, forest, micirocosmos, life, light, earth, sky, ocean, baby, children, directed by hayao miyazaki - Upscaled by @Shinta from maishinta (fast)",,水晶寺庙，未来生态村，阳光明媚的日子，秋天，五彩缤纷，欢乐，充满活力，森林，微型宇宙，生命，光，地球，天空，海洋，婴儿，儿童，由宫崎骏执导-由来自maishinta
"cyberpunk city, realistic, high defenition render, raining, alcohol, drunk effects, war, lasers, vibrant - Upscaled (Max) by @Tvcx (fast)",,赛博朋克城，逼真，高防御渲染，下雨，酒精，醉酒效果，战争，激光，充满活力-通过@Tvcx（fast）放大（最大值）
"5Ds7LL8R6XQ Devi godess fighting a monster in between clouds surrounded by godly mansions, warm tones, painting, sunset, highly detailed, use of colour red, cinematic, --ar 1:1 - Upscaled",,德维·戈迪斯在被神圣的大厦包围的云层之间与怪物战斗，暖色调，绘画，日落，高度详细，使用红色，电影般，
swords and lightning ,,剑与闪电
"beautiful girl, France, art nouveau, pink and gold, hot air balloons - Upscaled",,美丽女孩，法国，新艺术主义，粉色和金色，热气球
"Gorgeous golden Chinese palace, CG rendering Chinese style, overlooking, fairy tale, surrounded by roses, dragon and Phoenix in the sky chasing the moon, very beautiful, lighting effect, dream, starry sky, super detail, illustration, 4K unreal engine, ethereal clouds. Moon PalaceHD --ar 16:9 --q 2 --chaos 30 - Upscaled",,超广角视野，红玫瑰园+工厂区域的美丽画作，许多浪漫的玫瑰，具有许多铁框架的高大工厂，铁网，美丽的关键艺术，工厂照明，格雷格·拉特科夫斯基，夜晚，微光，铁框架上的小红玫瑰，艺术站趋势，低光，烟雾，美丽的幻想插图，钢支架，体积照明，UE4，ZBrush，绒猴套件HD
" Super wide angle view, red rose garden + beautiful paintings in the factory area,many romatic rose, tall factory with many iron frames, iron nets,beautiful key art, factory lighting, Greg ratkowski, night, shimmering light,a little red rose on the iron frame, art station trend, low light, smoke, beautiful fantasy illustration,steel support, volume lighting, UE4, ZBrush, marmoset Kit HD --ar 9:16 - Upscaled ",,超广角视野，红玫瑰园+工厂区域的美丽画作，许多浪漫的玫瑰，具有许多铁框架的高大工厂，铁网，美丽的关键艺术，工厂照明，格雷格·拉特科夫斯基，夜晚，微光，铁框架上的小红玫瑰，艺术站趋势，低光，烟雾，美丽的幻想插图，钢支架，体积照明，UE4，ZBrush，绒猴套件
" One kind of flower is pink, its petals are transparent, deep as sea water, crystal like dew, it can feel the loyalty and purity of love, 8K ,HD --ar 9:16 - Upscaled ",,有一种花是粉色的，它的花瓣是透明的，深如海水，水晶般的露水，它可以感受到爱的忠诚和纯洁
"Gorgeous golden Chinese palace, CG rendering Chinese style, overlooking, fairy tale, surrounded by roses, dragon and Phoenix in the sky chasing the moon, very beautiful, lighting effect, dream, starry sky, super detail, illustration, 4K unreal engine, ethereal clouds. Moon PalaceHD --ar 9:16 --q 2 --chaos 30 - Upscaled ",,华丽的金色中式宫殿，CG渲染中式风格，俯瞰，童话故事，被玫瑰环绕，天空中的龙凤追逐月亮，非常美丽，灯光效果，梦想，星空，超细节，插图，4K虚幻引擎，飘渺的云。月亮宫
"A human male wearing futuristic sci-fi armor, with his helmet half open to reveal the lower half of his face, with luminous blue energy flowing on his body, holding sci-fi weapons, octane rendering, high detail, sci-fi style, unreal engine, 8K, dynamic lighting, ray tracing, movie mirror --ar 9:16 --q 2 - Upscaled ",,一名男性，身穿未来派科幻盔甲，头盔半开，露出下半边脸，身上流动着明亮的蓝色能量，手持科幻武器，辛烷渲染，高细节，科幻风格，虚幻引擎，8K，动态照明，光线追踪，电影镜子
"Mountains and rivers, Chinese style, technology, fantasy, future ",,山水，中国风格，科技，幻想，未来
"one glowing crystalized in the dark rose forest with a rose path that has glowing ovules and lava crystallized ginger by Blizzard style ArtStation trending,Glowing black roses, magical light fog, night time, low light, volumetric lighting, ue4, zbrush, marmoset toolbag--hd --ar 9:16 --uplight",,一个在黑暗的玫瑰林中发光的水晶，有一条玫瑰路径，有暴雪风格的艺术站趋势的发光的胚珠和熔岩结晶的生姜，发光的黑玫瑰，神奇的光雾，夜间，低光，体积照明，
"A beautiful picture depicts a fairy tale world of tropical plants, cotton candy clouds, watermelon clouds, small flowers, grass, light green background, dreams, fairy tales, white smoke and fairyland. Lighting effects, cotton-like pink clouds around plants, fog and tulle floating around plants, fashion sense, pastoral style, very detailed LED, aesthetic decorative style, 4K detail post processing, art station, rendering, Unreal Engine HD",,一幅美丽的图画描绘了一个由热带植物、棉花糖云、西瓜云、小花、草、浅绿色背景、梦、童话、白烟和仙境组成的童话世界。灯光效果，植物周围棉花般的粉云，植物周围漂浮的雾和薄纱，时尚感，田园风格，非常详细的LED，美学装饰风格，4K细节后处理，艺术站，渲染，虚幻引擎高清
